CAS Number;Chemical_Name;Chemical Grade;Chemical Analysis;Chemical Purity Mean Op;Chemical Purity Mean(%);Chemical Purity Min Op;Chemical Purity Min(%);Chemical Purity Max Op;Chemical Purity Max(%);Species Scientific Name;Species Common Name;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Media Type;Test Location;Number of Doses;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc_1_Mean_(Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Effect;Effect Measurement;Endpoint;Response Site;Observed Duration Mean Op (Days);Observed Duration Mean (Days);Observed Duration Min Op (Days);Observed Duration Min (Days);Observed Duration Max Op (Days);Observed Duration Max (Days);Observed Duration Units (Days);BCF 1 Value Op;BCF 1 Value;BCF 1 Min Op;BCF 1 Min;BCF 1 Max Op;BCF 1 Max;BCF 1 Unit;BCF 2 Value Op;BCF 2 Value;BCF 2 Min Op;BCF 2 Min;BCF 2 Max Op;BCF 2 Max;BCF 2 Unit;BCF 3 Value Op;BCF 3 Value;BCF 3 Min Op;BCF 3 Min;BCF 3 Max Op;BCF 3 Max;BCF 3 Unit;Author;Reference Number;Title;Source;Publication Year
7758987;Sulfuric acid copper(2+) salt (1:1);;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;8;Total;;0.097;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;4;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;72945;Effects of Water Hardness and Metal Concentration on a Freshwater Tubifex tubifex Muller;Water Air Soil Pollut.142(1-4): 341-356;2003
7758987;Sulfuric acid copper(2+) salt (1:1);;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;8;Total;;0.615;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;4;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;72945;Effects of Water Hardness and Metal Concentration on a Freshwater Tubifex tubifex Muller;Water Air Soil Pollut.142(1-4): 341-356;2003
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.523;;0.432;;0.674;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;3;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.052;;0.044;;0.065;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;8;Total;;0.239;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;4;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;72945;Effects of Water Hardness and Metal Concentration on a Freshwater Tubifex tubifex Muller;Water Air Soil Pollut.142(1-4): 341-356;2003
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.649;;0.542;;0.759;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Total;;0.506;;0.437;;0.597;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Khangarot,B.S.;2918;Toxicity of Metals to a Freshwater Tubificid Worm, Tubifex tubifex (Muller);Bull. Environ. Contam. Toxicol.46:906-912;1991
7758987;Sulfuric acid copper(2+) salt (1:1);;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Renewal;Fresh water;Lab;;Total;;0.158;;0.139;;0.182;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;4;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Khangarot,B.S.;2918;Toxicity of Metals to a Freshwater Tubificid Worm, Tubifex tubifex (Muller);Bull. Environ. Contam. Toxicol.46:906-912;1991
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;7.989;;6.403;;10.758;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.052;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;4;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.067;;0.056;;0.079;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;3;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;8;Total;;0.116;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;4;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;72945;Effects of Water Hardness and Metal Concentration on a Freshwater Tubifex tubifex Muller;Water Air Soil Pollut.142(1-4): 341-356;2003
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.106;;0.082;;0.131;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;3;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.154;;0.106;;0.258;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.093;;0.076;;0.121;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758987;Sulfuric acid copper(2+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Tubifex tubifex;Tubificid Worm;"Worms; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.038;;0.031;;0.046;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;3;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rathore,R.S., and B.S. Khangarot;69566;Effects of Temperature on the Sensitivity of Sludge Worm Tubifex tubifex Muller to Selected Heavy Metals;Ecotoxicol. Environ. Saf.53(1): 27-36;2002
7758998;Sulfuric acid copper (2+) salt (1:1), Hydrate (1:5);;;;99;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;1;;;;;Instar;Static;Fresh water;Lab;;;;0.182;;0.147;;0.227;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;U.S. Environmental Protection Agency;344;Pesticide Ecotoxicity Database (Formerly: Environmental Effects Database (EEDB));Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:;1992
7761888;Nitric acid silver (1+) salt (1:1);;Unmeasured;>=;99.9;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;<;24;;;;;Hour(s);Aquatic - not reported;Fresh water;Lab;7;Total;;;>;0.002;<;0.003;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rosenfeldt,R.R., F. Seitz, R. Schulz, and M. Bundschuh;169863;Heavy Metal Uptake and Toxicity in the Presence of Titanium Dioxide Nanoparticles:  A Factorial Approach Using Daphnia magna;Environ. Sci. Technol.48(12): 6965-6972;2014
7761888;Nitric acid silver (1+) salt (1:1);;Unmeasured;>=;99.9;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Adult;;14;;;;;Day(s);Aquatic - not reported;Fresh water;Lab;7;Total;;;>;0.003;<;0.004;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;3;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Rosenfeldt,R.R., F. Seitz, R. Schulz, and M. Bundschuh;169863;Heavy Metal Uptake and Toxicity in the Presence of Titanium Dioxide Nanoparticles:  A Factorial Approach Using Daphnia magna;Environ. Sci. Technol.48(12): 6965-6972;2014
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Total;;0.0011;;0.001;;0.0011;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V., C.K. McAuliffe, R. Mshar, and D.G. Stevens;10525;Toxicity of Silver to Steelhead and Rainbow Trout, Fathead Minnows and Daphnia magna;Environ. Toxicol. Chem.2:95-104;1983
7761888;Nitric acid silver (1+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Renewal;Fresh water;Lab;;Total;;0.0029;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;21;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V., C.K. McAuliffe, R. Mshar, and D.G. Stevens;10525;Toxicity of Silver to Steelhead and Rainbow Trout, Fathead Minnows and Daphnia magna;Environ. Toxicol. Chem.2:95-104;1983
7761888;Nitric acid silver (1+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Renewal;Fresh water;Lab;;Total;;0.0039;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;21;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V., C.K. McAuliffe, R. Mshar, and D.G. Stevens;10525;Toxicity of Silver to Steelhead and Rainbow Trout, Fathead Minnows and Daphnia magna;Environ. Toxicol. Chem.2:95-104;1983
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.0084;;0.0075;;0.0092;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V.;615;Evaluation of a Daphnia magna Renewal Life-Cycle Test Method with Silver and Endosulfan;Water Res.16(5): 739-744;1982
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Renewal;Fresh water;Lab;6;Dissolved;;0.00081;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Survival;EC50;;;21;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Kolkmeier,M.A., and B.W. Brooks;163942;Sublethal Silver and NaCl Toxicity in Daphnia magna:  A Comparative Study of Standardized Chronic Endpoints and Progeny Phototaxis;Ecotoxicology22(4): 693-706;2013
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Dissolved;;0.0005;;0.0004;;0.0006;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Kim,J., S. Kim, and S. Lee;160065;Differentiation of the Toxicities of Silver Nanoparticles and Silver Ions to the Japanese Medaka (Oryzias latipes) and the Cladoceran Daphnia magna;Nanotoxicology5(2): 208-214;2011
7761888;Nitric acid silver (1+) salt (1:1);Technical grade, technical product, technical formulation;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<=;24;;;;;Hour(s);Static;Fresh water;Lab;>=6;Total;;0.02;;0.017;;0.023;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Barera,Y., and W.J. Adams;14533;Resolving Some Practical Questions About Daphnia Acute Toxicity Tests;ASTM Spec. Tech. Publ.:509-518;1983
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.0029;;0.0023;;0.0036;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V.;615;Evaluation of a Daphnia magna Renewal Life-Cycle Test Method with Silver and Endosulfan;Water Res.16(5): 739-744;1982
7761888;Nitric acid silver (1+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia pulex;Water Flea;"Crustaceans; Standard Test Species";Multiple;;;;;;;;Renewal;Fresh water;Lab;;Total;;0.0027;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;7;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Elnabarawy,M.T., A.N. Welter, and R.R. Robideau;12258;Relative Sensitivity of Three Daphnid Species to Selected Organic and Inorganic Chemicals;Environ. Toxicol. Chem.5(4): 393-398;1986
7761888;Nitric acid silver (1+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.023;;0.017;;0.034;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Khangarot,B.S., and P.K. Ray;6631;Investigation of Correlation Between Physicochemical Properties of Metals and Their Toxicity to the Water Flea Daphnia magna Straus;Ecotoxicol. Environ. Saf.18(2): 109-120;1989
7761888;Nitric acid silver (1+) salt (1:1);;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Larva;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.0015;;0.0013;;0.0018;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Elnabarawy,M.T., A.N. Welter, and R.R. Robideau;12258;Relative Sensitivity of Three Daphnid Species to Selected Organic and Inorganic Chemicals;Environ. Toxicol. Chem.5(4): 393-398;1986
7761888;Nitric acid silver (1+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Multiple;;;;;;;;Renewal;Fresh water;Lab;;Total;;0.0036;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;7;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Elnabarawy,M.T., A.N. Welter, and R.R. Robideau;12258;Relative Sensitivity of Three Daphnid Species to Selected Organic and Inorganic Chemicals;Environ. Toxicol. Chem.5(4): 393-398;1986
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.055;;0.052;;0.059;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V.;615;Evaluation of a Daphnia magna Renewal Life-Cycle Test Method with Silver and Endosulfan;Water Res.16(5): 739-744;1982
7761888;Nitric acid silver (1+) salt (1:1);Technical grade, technical product, technical formulation;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;>;96;<=;120;Hour(s);Static;Fresh water;Lab;>=6;Total;;0.023;;0.02;;0.04;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Barera,Y., and W.J. Adams;14533;Resolving Some Practical Questions About Daphnia Acute Toxicity Tests;ASTM Spec. Tech. Publ.:509-518;1983
7761888;Nitric acid silver (1+) salt (1:1);;Unmeasured;;;;;;;Daphnia pulex;Water Flea;"Crustaceans; Standard Test Species";Larva;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.0019;;0.0017;;0.0023;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Elnabarawy,M.T., A.N. Welter, and R.R. Robideau;12258;Relative Sensitivity of Three Daphnid Species to Selected Organic and Inorganic Chemicals;Environ. Toxicol. Chem.5(4): 393-398;1986
7761888;Nitric acid silver (1+) salt (1:1);Technical grade, technical product, technical formulation;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<=;6;;;;;Hour(s);Static;Fresh water;Lab;>=6;Total;;0.019;;0.016;;0.024;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Barera,Y., and W.J. Adams;14533;Resolving Some Practical Questions About Daphnia Acute Toxicity Tests;ASTM Spec. Tech. Publ.:509-518;1983
7761888;Nitric acid silver (1+) salt (1:1);Technical grade, technical product, technical formulation;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;>;72;<=;96;Hour(s);Static;Fresh water;Lab;>=6;Total;;0.007;;0.006;;0.008;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Barera,Y., and W.J. Adams;14533;Resolving Some Practical Questions About Daphnia Acute Toxicity Tests;ASTM Spec. Tech. Publ.:509-518;1983
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.00103;;0.0009;;0.0012;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V.;615;Evaluation of a Daphnia magna Renewal Life-Cycle Test Method with Silver and Endosulfan;Water Res.16(5): 739-744;1982
7761888;Nitric acid silver (1+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;10;Total;;0.01;;0.0054;;0.0156;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Khangarot,B.S., and P.K. Ray;6631;Investigation of Correlation Between Physicochemical Properties of Metals and Their Toxicity to the Water Flea Daphnia magna Straus;Ecotoxicol. Environ. Saf.18(2): 109-120;1989
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;0;;24;Hour(s);Flow-through;Fresh water;Lab;;Total;;0.0009;;0.0008;;0.001;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Holcombe,G.W., G.L. Phipps, A.H. Sulaiman, and A.D. Hoffman;12665;Simultaneous Multiple Species Testing: Acute Toxicity of 13 Chemicals to 12 Diverse Freshwater Amphibian, Fish, and Invertebrate Families;Arch. Environ. Contam. Toxicol.16:697-710;1987
7761888;Nitric acid silver (1+) salt (1:1);Technical grade, technical product, technical formulation;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;>;24;<=;48;Hour(s);Static;Fresh water;Lab;>=6;Total;;0.017;;0.015;;0.02;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Barera,Y., and W.J. Adams;14533;Resolving Some Practical Questions About Daphnia Acute Toxicity Tests;ASTM Spec. Tech. Publ.:509-518;1983
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.048;;0.042;;0.054;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V.;615;Evaluation of a Daphnia magna Renewal Life-Cycle Test Method with Silver and Endosulfan;Water Res.16(5): 739-744;1982
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.0149;;0.0143;;0.0155;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V.;615;Evaluation of a Daphnia magna Renewal Life-Cycle Test Method with Silver and Endosulfan;Water Res.16(5): 739-744;1982
7761888;Nitric acid silver (1+) salt (1:1);;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Total;;0.0009;;0.0008;;0.0011;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V.;615;Evaluation of a Daphnia magna Renewal Life-Cycle Test Method with Silver and Endosulfan;Water Res.16(5): 739-744;1982
7761888;Nitric acid silver (1+) salt (1:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Renewal;Fresh water;Lab;;Total;;0.0036;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;21;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Nebeker,A.V., C.K. McAuliffe, R. Mshar, and D.G. Stevens;10525;Toxicity of Silver to Steelhead and Rainbow Trout, Fathead Minnows and Daphnia magna;Environ. Toxicol. Chem.2:95-104;1983
